pubmed_id,DOI,title,keywords,journal,abstract
33668032,"['10.3171/2020.9.JNS201109 [doi]', '2020.9.JNS201109 [pii]']",Correction of the skull density ratio for transcranial MRI-guided focused ultrasound thalamotomy: clinical significance of predicting therapeutic temperature.,"TcMRgFUS, frequency filter, functional neurosurgery, overshoot, skull density ratio, undershoot",Journal of neurosurgery,"OBJECTIVE: In transcranial magnetic resonance imaging-guided focused ultrasound (TcMRgFUS), a high skull density ratio (SDR) is advantageous to achieve a sufficiently high temperature at the target. However, it is not easy to estimate the temperature rise because the SDR shows different values depending on the reconstruction filter used. The resolution characteristic of a computed tomography (CT) image depends on a modulation transfer function (MTF) defined by the reconstruction filter. Differences in MTF induce unstable SDRs. The purpose of this study was both to standardize SDR by developing a method to correct the MTF and to enable effective patient screening prior to TcMRgFUS treatment and more accurate predictions of focal temperature. METHODS: CT images of a skull phantom and five subjects were obtained using eight different reconstruction filters. A frequency filter (FF) was calculated using the MTF of each reconstruction filter, and the validity of SDR standardization was evaluated by comparing the variation in SDR before and after FF correction. Subsequently, FF processing was similarly performed using the CT images of 18 patients who had undergone TcMRgFUS, and statistical analyses were performed comparing the relationship between the SDRs before and after correction and the maximum temperature in the target during TcMRgFUS treatment. RESULTS: The FF was calculated for each reconstruction filter based on one manufacturer's BONE filter. In the CT images of the skull phantom, the SDR before FF correction with five of the other seven reconstruction filters was significantly smaller than that with the BONE filter (p < 0.01). After FF correction, however, a significant difference was recognized under only one condition. In the CT images of the five subjects, variation of the SDR due to imaging conditions was significantly improved after the FF correction. In 18 cases treated with TcMRgFUS, there was no correlation between SDR before FF correction and maximum temperature (rs = 0.31, p > 0.05); however, a strong positive correlation was observed after FF correction (rs = 0.71, p < 0.01). CONCLUSIONS: After FF correction, the difference in SDR due to the reconstruction filter used is smaller, and the correlation with temperature is stronger. Therefore, the SDR can be standardized by applying the FF, and the maximum temperature during treatment may be predicted more accurately."
33667958,"['S0003-9969(21)00017-0 [pii]', '10.1016/j.archoralbio.2021.105054 [doi]']",Effects of osteoporosis on alveolar bone repair after tooth extraction: A systematic review of preclinical studies.,"Animal models, Osteoporosis, Systematic review, Tooth extraction",Archives of oral biology,"OBJECTIVE: This systematic review aimed to address whether the alveolar socket repair after a tooth extraction is impacted by an osteoporotic phenotype and propose methodological observations. DESIGN: A search strategy in MEDLINE/PubMed, EMBASE, Web of Science, and Scopus databases was performed. Quality assessment was carried out through the SYRCLE Risk of Bias tool. RESULTS: Out of the 1147 potentially relevant records, 25 met the inclusion criteria. Most of the studies were performed in rats, and ovariectomy (OVX) was the most frequent osteoporosis induction method. Histomorphometry, micro-computed tomography (microCT), and immunohistochemistry were the main bone repair evaluation methods. Most of the included studies (88 %) presented negative impacts of osteoporosis on the alveolar socket repair. Only three studies (12 %) showed no statistical differences among groups. Overall, most of the quality assessment categories presented a high percentage of unclear risk of bias due to insufficient information in the studies. CONCLUSIONS: The results indicated that an osteoporotic phenotype seems to impair alveolar socket repair after tooth extraction. However, there is still a lack of information and standardization. Therefore, further studies should consider the proposed methodological aspects regarding animal characteristics, OVX associated with a low calcium diet, waiting 8 weeks to osteoporosis induction, maxillary molars as the best option for tooth extraction, confirming and reporting OVX and osteoporosis success, and an appropriate method of repair analysis."
33667952,"['S0041-624X(21)00048-2 [pii]', '10.1016/j.ultras.2021.106407 [doi]']",Identification of long-range ultrasonic guided wave characteristics in cortical bone by modelling.,"Cortical bone, Dispersion curves, Frequency domain, Ultrasonic guided waves, Wavestructure",Ultrasonics,"The propagation of ultrasonic guided waves in cortical bone has potential to inform medical caregivers about the condition of the bone structure. However, as waveguides, human long bones such as the tibia are complex in terms of their material behavior and their geometric features. They exhibit anisotropic elasticity and internal damping. For the first time, wave propagation is modelled in the irregular hollow tibial cross-section, which varies along its long axis. Semi-analytical, frequency domain, and time domain finite element analyses providing complimentary information about long-range wave propagation characteristics in such a waveguide are applied to the mid-diaphyseal region of a human tibia. Simulating the guided waves generated by a contact transducer, the signals received in axial transmission indicate the consistent presence of low phase velocity non-dispersive propagating modes. The guided waves capable of traveling long distances have strong potential for diagnosis of fracture healing."
33667942,"['S0969-8043(21)00051-8 [pii]', '10.1016/j.apradiso.2021.109639 [doi]']","Dosimetric effects of composition, location and size of tissue heterogeneities on (252)Cf neutron brachytherapy.","(252)Cf source, Dosimetry, Heterogeneity, Monte Carlo simulation, Neutron brachytherapy","Applied radiation and isotopes : including data, instrumentation and methods for use in agriculture, industry and medicine","The purpose of this study is to evaluate the effect of tissue heterogeneities on dose distribution in Californium-252((252)Cf) neutron brachytherapy. The effect of location and size of heterogeneity on dose distribution was also evaluated. Neutron and photon dose rate distributions were determined in a water phantom in presence of air, lung, soft tissue and bone heterogeneities using MCNPX code. To benchmark the Monte Carlo simulation of the (252)Cf source, air kerma strength(SKN), dose rate constant (N) and radial dose function (gN(r)) were calculated and compared with previously reported data. Results showed a considerable reduction of neutron dose rate (up to 66%) inside heterogeneities, especially in air and bone heterogeneities, while the reduction of total photon dose rate was found less significant (up to 10%). In the presence of a heterogeneity, dose rate, fluence and energy spectrum were significantly different with respect to the homogenous phantom. The contribution of photon dose to the total dose in the presence of air and bone was dominant, compared to the neutron dose, whereas this photon contribution was reduced after passing the heterogeneity. As the bone heterogeneity size was increased from 1 x 1 x 1 cm(3) to 1 x 3 x 1 cm(3), the total dose and neutron energy fluence decreased of about 50% and 70%, respectively."
33667924,"['S0308-8146(21)00361-7 [pii]', '10.1016/j.foodchem.2021.129355 [doi]']","Amylase enhances production of low molecular weight collagen peptides from the skin of spent hen, bovine, porcine, and tilapia.","Amylase, Bovine, Collagen, Low molecular weight peptides, Porcine, Spent hen, Tilapia",Food chemistry,"Low molecular weight (LMW) collagen peptides show skin and bone health benefits for human. However, the production of LMW collagen peptides from land vertebrate sources remains challenging due to the presence of advanced glycation end products (AGEs) cross-links. In this study, the effect of alpha-amylase pre-treatment on proteolytic production of LMW collagen peptides by papain was investigated; spent hen, bovine, porcine, and tilapia skin collagens (HSC, BSC, PSC, and TSC, respectively) were chosen. Results showed that pre-treatment with alpha-amylase considerably improved the production of LMW peptides (<2 kDa) from HSC (33.79-67.66%), PSC (86.03-90.85%), BSC (6.60-28.78%), and TSC (89.92-90.27%). The HSC presented the highest carbohydrate content and was increased the most in LMW peptides after amylase pretreatment. These results suggested that alpha-amylase could cleave glycosidic bonds of AGEs between collagen and thus enhance the production of LMW collagen peptides."
33667913,"['S2210-2612(21)00210-8 [pii]', '10.1016/j.ijscr.2021.105710 [doi]']",Thoracic outlet syndrome in a patient with SAPHO syndrome - A case report.,"Case report, Compression, SAPHO syndrome, Subclavian vein thrombosis, TOS, Thoracic outlet syndrome, Upper thoracic outlet",International journal of surgery case reports,"INTRODUCTION AND IMPORTANCE: Thoracic outlet syndrome (TOS) includes disorders caused by compression of the neurovascular structures in the upper thoracic outlet (Roos and Owens, 1996 [1]; Burger, 2014; Curuk, 2020 [3]). Depending on the compressed structure, it is categorized into neurological, arterial and venous TOS. SAPHO syndrome (synovitis-acne-pustulosis-hyperostosis-osteitis syndrome) is a rare chronic inflammatory disease of unknown etiology. With its typical involvement of sternoclavicular joint and clavicle, complication due to hyperostosis in this region, leading to thrombosis of the subclavian vein have been reported in some cases of SAPHO syndrome. Between 2015 and 2019 488 patients, suffering from neurological, vascular or combined TOS presented at our department. Depending on clinical and diagnostic results surgical therapy was performed in 175 cases via the transaxillary approach, including complete first rib and/or cervical rib resection, neurolysis of plexus brachialis, thoracic sympathectomy and vascular reconstruction if indicated (Curuk, 2020). During this period, only one single patient presented with SAPHO syndrome with thrombosis of the subclavian vein and neurovascular TOS. CASE PRESENTATION: We present a 50-year-old female patient, in line with the SCARE 2020 criteria (Agha et al., 2020 [12]) suffering from extremely rare combination of neurovascular TOS and SAPHO syndrome with thrombosis of the left subclavian vein due to hyperostosis of the left clavicle. CONCLUSION: Progressive bone changes associated with SAPHO syndrome can lead to narrowing of the thoracic outlet. Pharmacological therapies to avoid the progression of the hyperostosis of the costoclavicular joint and the clavicle do currently not exist. First rib resection is a therapeutic option to widen the space in the upper thoracic region. Surely, it is a rare condition and more long-term follow-up data are required."
33667892,"['S1936-5233(21)00040-1 [pii]', '10.1016/j.tranon.2021.101048 [doi]']",High-throughput drug screening reveals Pyrvinium pamoate as effective candidate against pediatric MLL-rearranged acute myeloid leukemia.,"High-throughput drug library screen, MLL-rearranged AML, Pediatric acute myeloid leukemia, Pyrvinium pamoate",Translational oncology,"Pediatric MLL-rearranged acute myeloid leukemia (AML) has a generally unfavorable outcome, primarily due to relapse and drug resistance. To overcome these difficulties, new therapeutic agents are urgently needed. Yet, implementing novel drugs for clinical use is a time-consuming, laborious, costly and high-risk process. Therefore, we applied a drug-repositioning strategy by screening drug libraries, comprised of >4000 compounds that are mostly FDA-approved, in a high-throughput format on primary MLL-rearranged AML cells. Here we identified pyrvinium pamoate (pyrvinium) as a novel candidate drug effective against MLL-rearranged AML, eliminating all cell viability at <1000nM. Additional screening of identified drug hits on non-leukemic bone marrow samples, resulted in a decrease in cell viability of approximately 50% at 1000nM pyrvinium, suggesting a therapeutic window for targeting leukemic cells specifically. Validation of pyrvinium on an extensive panel of AML cell lines and primary AML samples showed comparable viabilities as the drug screen data, with pyrvinium achieving IC50 values of <80nM in these samples. Remarkably, pyrvinium also induced cell toxicity in primary MLL-AF10(+) AML cells, an MLL-rearrangement associated with a poor outcome. While pyrvinium is able to inhibit the Wnt pathway in other diseases, this unlikely explains the efficacy we observed as beta-catenin was not expressed in the AML cells tested. Rather, we show that pyrvinium co-localized with the mitochondrial stain in cells, and hence may act by inhibiting mitochondrial respiration. Overall, this study shows that pyrvinium is highly effective against MLL-rearranged AML in vitro, and therefore represents a novel potential candidate for further studies in MLL-rearranged AML."
33667808,"['S0304-3894(21)00479-9 [pii]', '10.1016/j.jhazmat.2021.125516 [doi]']",Modified bone char with C-MgO as a green antibacterial household water treatment filter: Comparing the microbial quality with refrigerator cartridge filters.,"Antibacterial effect, Bone char, Cartridge filters, Enterococcus faecalis, Escherichia coli, Magnesium oxide, MgO, Nanoparticles",Journal of hazardous materials,"The present study examines the efficiency of modified bone char (BC) with C-MgO nanoparticles (MBC-C-MgO) as media in a cartridge filter as an antibacterial agent to produce a new filter. The filters were operated in a continuous mode using a pre-static pump. MBC-C-MgO were produced and modified with sucrose through the co-precipitation method. The microbial quality of effluent water samples was compared with commercial refrigerator cartridge filters using a heterotrophic plate count (HPC) test and SEM analysis. The results showed that the effluent water from the filter with MBC-C-MgO media had the lowest HPC (177 CFU/mL) compared to bioceramic (271 CFU/mL) and carbon (500 CFU/mL) under similar experimental conditions after 4 months of operation. Maximum inhibitory concentration (MIC) and minimum bactericidal concentration (MBC) tests were determined using the broth dilution method on Escherichia coli (ATCC 25922) and Enterococcus faecalis (ACC 29212). The MIC results for E. faecalis and E. coli were 156.25 and 312.5 microg/mL, respectively. Furthermore, the MBC results for E. faecalis and E. coli were 312.5 and 625 microg/mL. The experimental results obviously showed the antibacterial properties of C-MgO nanoparticles and the MBC-C-MgO."
33667799,"['S1751-6161(21)00093-X [pii]', '10.1016/j.jmbbm.2021.104404 [doi]']",Assessing mechanical behavior of ostrich and equine trabecular and cortical bone based on depth sensing indentation measurements.,"Elastic modulus, Hardness, Nanoindentation, Ostrich- equine bone, Scaffold, Trabecular bone",Journal of the mechanical behavior of biomedical materials,"Guided bone regeneration surgeries are based on grafting a scaffold in the site to be repaired. The main focus of the scaffold is to provide mechanical support to newly formed blood vessels and cells that will colonize the grafted site, achiving bone regenertation. In this regards, the aim of this study was to characterize the anatomy, structular, surface morphologycal, chemical composition, and nanomechanical properties of ostrich and equine trabecular bone. Ostrich and equine specimens were obtained from a local abattoir and bone was obtained by blunt dissection, n = 5. Tissue bone anatomy and trabecular structure were measured using Computerized Axial Tomography (CAT). Atomic Force Microscopy (AFM) and Energy dispersion spectrometry of X-ray (EDS) were used to examine surface morphology and chemical composition of the trabecular ostrich and equine bone. Mechanical behavior was analysted by nanoindentation. Equine specimens were examined as control. CAT results suggest that in terms of anthropometry, ostrich tarsometatarsus bone is more suitable due to its length is 432.56 +/- 3.12 mm vs. the highest human bone structures reported, which femur length is 533.66 +/- 18.81 mm. Besides, the low radiodensity in the Hounsfield scale exhibits equine trabecular bone more brittle (Av = 1538.4 +/- 0.9) than ostrich trabecular bone (Av = 462.1 +/- 1.5). EDS showed a slight variation of the element Calcium (Ca(2+)) ranging from 20% to 25.5% wt in equine bone; the Ca(2+) content variation is consistent with the ring-shaped morphology, while in ostrich bone the chemical composition is homogeneous. The elastic modulus, nanohardness (E = 5.3 +/- 0.7 GPa, H = 220 +/- 10 MPa) and average roughness (Ra = 207 nm) are similar to the human trabecular bone which could reduce the stress shielding, all of these findings suggest that ostrich bone can be promising for native tissue scaffolds for mechanically demanding applications. This research makes innovative contributions to science and provides a framework, which will allow us to address future biomedical tests, and rapidly identify promising organic and sustainable waste for tissue scaffold."
33667733,"['S1011-1344(21)00045-2 [pii]', '10.1016/j.jphotobiol.2021.112167 [doi]']",Is an anodizing coating associated to the photobiomodulation able to optimize bone healing in ovariectomized animal model?,"Anodic films, Bone, Fractures, Laser, Oxide coating","Journal of photochemistry and photobiology. B, Biology","This in vivo study investigated whether the bioactivity of anodizing coating, produced by plasma electrolytic oxidation (PEO), on mini-plate in femur fracture could be improved with the association of photobiomodulation (PBM) therapy. From the 20 ovariectomized Wistar female rats, 8 were used for model characterization, and the remaining 12 were divided into four groups according to the use of PBM therapy by diode laser (808 nm; power: 100 mW; energy: 6.0 J; energy density: 212 J/cm(2); power density: 3.5 W/cm(2)) and the type of mini-plate surface (commercially pure titanium mini-plate -cpTi- and PEO-treated mini-plate) as follow: cpTi; PEO; cpTi/PBM; and PEO/PBM. After 60 days of surgery, fracture healing underwent microstructural, bone turnover, histometric, and histologic adjacent muscle analysis. Animals of groups with PEO and PBM showed greater fracture healing than cpTi control group under histometric and microstructural analysis (P < 0.05); however, bone turnover was just improved in PBM's groups (P < 0.05). there was no difference between cpTi and PEO without PBM (P > 0.05). Adjacent muscle analysis showed no metallic particles or muscle alterations in all groups. PEO and PBM are effective strategies for bone repair in fractures, however their association does not provide additional advantages."
