pubmed_id,DOI,title,keywords,journal,abstract
33676307,"['S0753-3322(21)00191-8 [pii]', '10.1016/j.biopha.2021.111406 [doi]']",Plasmodium infection inhibits triple negative 4T1 breast cancer potentially through induction of CD8(+) T cell-mediated antitumor responses in mice.,"CD8(+) T cells, Granzyme B, Immune checkpoints, Plasmodium infection, Triple negative breast cancer",Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,"We previously reported that Plasmodium infection promotes antitumor immunity in a murine Lewis lung cancer. In this study, we investigated the effects of Plasmodium infection on the tumor inhibition and antitumor CD8(+) T cell responses in a murine triple negative breast cancer (TNBCA) model. The results showed that Plasmodium infection significantly inhibited tumor growth, and increased the survival rate of the tumor-bearing mice. Both effector and memory CD8(+) T cells were increased in peripheral blood and tumor-draining lymph node (DLN) in the infected mice. The co-stimulatory (CD40L, GITR and OX-40) and co-inhibitory (PD-1, CTLA-4, TIM-3, LAG3) immune checkpoints were up-regulated on CD8(+) T cells in infected mice. Importantly, Py induced remarkable effects on the infiltration of CD8(+) T cells in the tumor and granzym B(+) CD8(+) T cells in tumor-bearing mice while not in tumor-free mice. In summary, the results suggested that the effects of Plasmodium infection on murine 4T1 breast cancer might be related to the induction of CD8(+) T cell-mediated antitumor immune responses. This finding may provide a novel strategy for the treatment of triple negative breast cancer."
33676293,"['S2059-7029(21)00019-3 [pii]', '10.1016/j.esmoop.2021.100063 [doi]']",Tucatinib approval by EMA expands options for HER2-positive locally advanced or metastatic breast cancer.,?,ESMO open,?
33676180,"['S0006-291X(21)00332-6 [pii]', '10.1016/j.bbrc.2021.02.103 [doi]']",Identification of U83836E as a gamma-glutamylcyclotransferase inhibitor that suppresses MCF7 breast cancer xenograft growth.,"MCF7 cells, Tumor growth inhibition, U83836E, Xenograft, gamma-Glutamylcyclotransferase",Biochemical and biophysical research communications,"gamma-Glutamylcyclotransferase (GGCT) is involved in glutathione homeostasis, in which it catalyzes the reaction that generates 5-oxoproline and free amino acids from gamma-glutamyl peptides. Increasing evidence shows that GGCT has oncogenic functions and is overexpressed in various cancer tissues, and that inhibition of GGCT activity exerts anticancer effects in vitro and in vivo. Here, we demonstrate that U83836E ((2R)-2-[[4-(2,6-dipyrrolidin-1-ylpyrimidin-4-yl)piperazin-1-yl]methyl]-3,4-dihyd ro-2,5,7,8,-tetramethyl-2H-1-benzopyran-6-ol, dihydrochloride), a lazaroid that inhibits lipid peroxidation, inhibits GGCT enzymatic activity. U83836E was identified from a high-throughput screen of low molecular weight compounds using a fluorochrome-conjugated GGCT probe. We directly quantified that U83836E specifically inhibited GGCT by measuring the product of a fluorochrome-conjugated GGCT substrate assay, and showed that U83836E inhibited GGCT activity in extracts of NIH3T3 cells overexpressing GGCT. Moreover, U83836E significantly inhibited tumor growth in a xenograft model that used immunodeficient mice orthotopically inoculated with MCF7 human breast cancer cells. These results indicate that U83836E may be a useful GGCT inhibitor for the development of potential cancer therapeutics."
33676057,"['S8756-3282(21)00069-7 [pii]', '10.1016/j.bone.2021.115907 [doi]']","""The use of bisphosphonates to treat skeletal complications in solid tumours"".","Bisphosphonates, Bone metastasis, Breast cancer, Hypercalcaemia, Lung cncer, Prostate cancer, Skeletal related events",Bone,"The skeleton is the most common site of secondary disease in breast cancer and prostate cancer, with up to 80% of patients with advanced disease developing bone metastases (BM). The proportion is also substantial in advanced lung cancer (20% - 40%). Because of the high prevalence of cancers of the breast, prostate and lung, these cancers account for more than 80% of cases of metastatic bone disease occurring in solid tumours. Metastatic bone disease is associated with greatly increased bone resorption by osteoclasts, leading to moderate to severe pain and other skeletal complications, with major impact on quality of life (QoL). Skeletal Related Events (SREs) have been defined as: pathological long bone or vertebral fractures; spinal cord compression; need for radiation for pain relief or to prevent fracture/spinal cord compression, need for surgery to bone and hypercalcaemia. More recently, Symptomatic Skeletal Events (SSEs) have been defined to monitor QoL. Although there are currently no curative treatments for metastatic bone disease, patients with breast or prostate cancer and BM are now surviving for several years and sometimes longer, and prevention of SREs is the key aim to optimization of QoL. Since their discovery 50years ago and their introduction more than 30years ago into the field of metastatic bone disease, a range of oral and intravenous bisphosphonate drugs have made a major contribution to prevention of SREs. Large trials have clearly demonstrated the clinical value of different bisphosphonate-based drugs (including the oral drugs ibandronate and clodronate and intravenous agents such as zoledronate and pamidronate), in treatment of hypercalcaemia of malignancy and the reduction of SREs and SSEs in a range of cancers. Despite the success of denosumab in reducing osteolysis, bisphosphonates also remain mainstay drugs for treatment of metastatic bone disease. Recognizing the 50th Anniversary of the discovery of bisphosphonates, this review focuses on their continuing value in BM treatment and their future potential, for example in providing a bone-targeting vehicle for cytotoxic drugs."
33676043,"['S0045-2068(21)00074-2 [pii]', '10.1016/j.bioorg.2021.104698 [doi]']","3,7-bis-benzylidene hydrazide ciprofloxacin derivatives as promising antiproliferative dual TOP I & TOP II isomerases inhibitors.","Antiproliferative, Benzylidenes, Ciprofloxacin, Fluoroquinolones, TOP I and TOP II inhibitors",Bioorganic chemistry,"We report herein design and synthesis of a new series of 3,7-bis-benzylidenes of ciprofloxacin. Most of the target compounds revealed good cytotoxic activity; the most potent 4e and 4i achieved strong broad spectrum antiproliferative activity with comparable activity to Doxorubicin with IC50 (microM) of 1.21 +/- 0.02, 0.87 +/- 0.04, 1.21 +/- 0.02; 0.41 +/- 0.02, 0.57 +/- 0.06, 1.31 +/- 0.04 and 1.26 +/- 0.01, 1.79 +/- 0.04, 0.63 +/- 0.01 against leukemia cancer cell line HL-60 (TB), colon cancer cell line HCT-116 and breast cancer cell line MCF7, respectively. Moreover, the most potent derivative 4i induced apoptosis at G2/M phase Investigating the mechanism of action of compounds 4e, 4 h and 4i exhibited promising dual TOP Ialpha and TOP IIB % inhibition comparable to Camptothecin and Etoposide; respectively. Docking of 4e, 4 h and 4i into the active site of topo I and II proteins compared to Camptothein and Etoposide revealed acceptable binding score and augmented enzyme assay data. Hence, 4e and 4i are promising targeted antiproliferative dual acting TOP Ialpha TOP IIB inhibitors that require further optimization."
33676040,"['S0045-2068(21)00103-6 [pii]', '10.1016/j.bioorg.2021.104726 [doi]']","Corrigendum to ""TCF3-activated FAM201A enhances cell proliferation and invasion via miR-186-5p/TNKS1BP1 axis in triple-negative breast cancer"" [Bioorg. Chem. 104 (2020) 104301].",?,Bioorganic chemistry,?
33675995,"['S1357-2725(21)00049-2 [pii]', '10.1016/j.biocel.2021.105965 [doi]']","Cell Specific Tumor Suppressor Effect of Hsa-miR-1226-3p through Downregulation of HER2, PIK3R2, and AKT1 genes.","AKT, Breast cancer, HER2, PIK3R2, miRNA",The international journal of biochemistry & cell biology,"PI3K/AKT signaling has a crucial role in breast cancer incidence and finding the miRNAs that regulate this pathway enhances our understanding of breast cancer regulation. Firstly, our bioinformatics analysis suggested miR-1226-3p as a bona fide regulator of HER2, PIK3R2, and AKT1 putative target genes. Secondly, RT-qPCR, ELISA test and western blotting showed that overexpression of miR-1226 was followed by reduced expression of HER2, PIK3R2, and AKT1 putative targets genes in SKBR3 cells. Third, dual luciferase assay verified direct interaction of miR-1226-3p with 3'UTR sequences of these target genes. Then, overexpression of miR-1226 in SKBR3 cells brought about increased population of sub-G1 and decreased populations of G1 cells, measured by flow cytometry. This was consistent to the reduction of p-AKT protein and increased BAX protein levels, detected by western analysis and consistent to decreased CCND1 genes expression, detected by RT-qPCR. The reduced survival and increased apoptosis rate of these cells was also verified through MTT, Annexin V-FITC and Live-Dead cell staining assays. Our results suggest that miR-1226-3p is a tumor suppressor in SKBR3 cells. However, following the overexpression of miR-1226 in MDA-MB-231 cells, Bax/Bcl2 ratio and CCND1 genes expression levels were not significantly changed, sub-G1 and G1 cell cycle population were reduced while, S and G2/M cell populations were increased, consistent to the results acquired from the apoptosis and staining assays. Finally, TCGA data analysis and RT-qPCR against 20 pairs of Normal/Tumor breast tissues indicated that miR-1226-3p has been downregulated in breast cancer. Overall, the present study gathered shreds of evidence that suggest miR-1226-3p as a tumor suppressor that exerts its inhibitory effect on SKBR3 cells through targeting of HER2, PIK3R2, and AKT1 genes and downregulates PI3K/AKT pathway."
33675898,"['S0024-3205(21)00290-3 [pii]', '10.1016/j.lfs.2021.119305 [doi]']","Molecular docking, synthesis and anticancer activity of thiosemicarbazone derivatives against MCF-7 human breast cancer cell line.","2-hydroxybenzaldehyde, 4-hydroxybenzaldehyde, Cytotoxicity, Gene expression, MCF-7 breast cancer cell line, Molecular docking, Protein expression, Thiosemicarbazone",Life sciences,"BACKGROUND: The aim of this study was to synthesize and evaluate anticancer activity of 2-hydroxy benzaldehyde and 4-hydroxy benzaldehyde thiosemicarbazone (2-HBTSc and 4-HBTSc) against MCF-7 breast cancer cell line. MATERIALS AND METHODS: The ligands were prepared and characterized by UV vis, IR and NMR. MTT assay was used to assess viability of cells. RNA isolation, extraction and cDNA synthesis were done. Then all groups were subjected to RT-qPCR using Gene expression specific primers. Also, western blot protein expression and molecular docking were done. Two-way ANOVA with Tukey post-hoc test was employed to test the significance using GraphPad Prism. RESULTS: The IC50 values were 3.36mug/ml and 3.60mug/ml for 2-HBTSc and 4-HBTSc treated MCF-7 tumor cells respectively. Tumor cell growth inhibition ranged from 38 to 49.27% in 4-HBTSc treated cells, and 19 to 25% in 2-HBTSc treated cells with increase in doses 5mug/ml to 20mug/ml. The protein and gene expression result showed a significant upregulation in tumor suppressor and apoptosis inducing genes while, oncogene activity was significantly downregulated. Specifically, BRCA2 and pRB gene showed the highest expression in 4-HBTSc and 2-HBTSc treated cells respectively. Conversely, RAS oncogene was downregulated significantly. Docking result showed that both 2-HBTSc and 4-HBTSc have the potential to inhibit Estrogen Receptor Alpha Ligand Binding Domain, Human 17-Beta-hydroxysteroid dehydrogenase type 1 mutant protein and Human Topoisomerase II alpha that are expressed more during Breast Cancer. CONCLUSION: The findings of this study imply that the test compound has potential for further study."
33675849,"['S0079-6107(21)00009-2 [pii]', '10.1016/j.pbiomolbio.2021.02.004 [doi]']",An effective human uracil-DNA glycosylase inhibitor targets the open pre-catalytic active site conformation.,"Cancer, DNA repair, Ligand, Structures, UDG",Progress in biophysics and molecular biology,"Human uracil DNA-glycosylase (UDG) is the prototypic and first identified DNA glycosylase with a vital role in removing deaminated cytosine and incorporated uracil and 5-fluorouracil (5-FU) from DNA. UDG depletion sensitizes cells to high APOBEC3B deaminase and to pemetrexed (PEM) and floxuridine (5-FdU), which are toxic to tumor cells through incorporation of uracil and 5-FU into DNA. To identify small-molecule UDG inhibitors for pre-clinical evaluation, we optimized biochemical screening of a selected diversity collection of >3,000 small-molecules. We found aurintricarboxylic acid (ATA) as an inhibitor of purified UDG at an initial calculated IC50<100nM. Subsequent enzymatic assays confirmed effective ATA inhibition but with an IC50 of 700nM and showed direct binding to the human UDG with a KD of <700nM. ATA displays preferential, dose-dependent binding to purified human UDG compared to human 8-oxoguanine DNA glycosylase. ATA did not bind uracil-containing DNA at these concentrations. Yet, combined crystal structure and in silico docking results unveil ATA interactions with the DNA binding channel and uracil-binding pocket in an open, destabilized UDG conformation. Biologically relevant ATA inhibition of UDG was measured in cell lysates from human DLD1 colon cancer cells and in MCF-7 breast cancer cells using a host cell reactivation assay. Collective findings provide proof-of-principle for development of an ATA-based chemotype and ""door stopper"" strategy targeting inhibitor binding to a destabilized, open pre-catalytic glycosylase conformation that prevents active site closing for functional DNA binding and nucleotide flipping needed to excise altered bases in DNA."
33675807,"['S0014-4827(21)00058-6 [pii]', '10.1016/j.yexcr.2021.112527 [doi]']",Organotypic platform for studying cancer cell metastasis.,"3D microenvironment, Stiffness, adhesion, cell mechanics, metastasis, migration",Experimental cell research,"Metastasis is the leading cause of mortality in cancer patients. To migrate to distant sites, cancer cells would need to adapt their behaviour in response to different tissue environments. Thus, it is essential to study this process in models that can closely replicate the tumour microenvironment. Here, we evaluate the use of organotypic liver and brain slices to study cancer metastasis. Morphological and viability parameters of the slices were monitored daily over 3 days in culture to assess their stability as a realistic 3D tissue platform for in vitro metastatic assays. Using these slices, we evaluated the invasion of MDA-MB-231 breast cancer cells and of a subpopulation that was selected for increased motility. We show that the more aggressive invasion of the selected cells likely resulted not only from their lower stiffness, but also from their lower adhesion to the surrounding tissue. Different invasion patterns in the brain and liver slices were observed for both subpopulations. Cells migrated faster in the brain slices (with an amoeboid-like mode) compared to in the liver slices (where they migrated with mesenchymal or collective migration-like modes). Inhibition of the Ras/MAPK/ERK pathway increased cell stiffness and adhesion forces, which resulted in reduced invasiveness. These results illustrate the potential for organotypic tissue slices to more closely mimic in vivo conditions during cancer cell metastasis than most in vitro models."
