pubmed_id,DOI,title,keywords,journal,abstract
33668040,"['103568 [pii]', '10.18632/aging.103568 [doi]']",Methylation-dependent MCM6 repression induced by LINC00472 inhibits triple-negative breast cancer metastasis by disturbing the MEK/ERK signaling pathway.,"LINC00472, long non-coding RNA, metastasis, minichromosome maintenance complex component 6, riple-negative breast cancer",Aging,"Long noncoding RNAs (lncRNAs) have been identified to be dysregulated in multiple cancer types, which are speculated to be of vital significance in regulating several hallmarks of cancer biology. Triple-negative breast cancer (TNBC) is acknowledged as an aggressive subtype of breast cancer. In this study, we found the lncRNA LINC00472 was poorly expressed in TNBC tissues and cells. Overexpression of LINC00472 could inhibit the proliferation, invasion and migration of MDA-MB-231 cells. On the contrary, minichromosome maintenance complex component 6 (MCM6) was highly expressed in TNBC tissues and MDA-MB-231 cells due to suppressed methylation. LINC00472 induced site-specific DNA methylation and reduced the MCM6 expression by recruiting DNA methyltransferases into the MCM6 promoter. Since the restoration of MCM6 weakened the tumor-suppressive effect of LINC00472 on MDA-MB-231 cells, LINC00472 potentially acted as a tumor suppressor by inhibiting MCM6. In addition, in vivo experiments further substantiated that overexpression of LINC00472 inhibited tumor growth and metastasis to lungs by decreasing the expression of MCM6. Overall, the present study demonstrated that LINC00472-mediated epigenetic silencing of MCM6 contributes to the prevention of tumorigenesis and metastasis in TNBC, providing an exquisite therapeutic target for TNBC."
33668004,"['S0960-9776(21)00022-9 [pii]', '10.1016/j.breast.2021.02.008 [doi]']",Tired of feeling tired - The role of circulating inflammatory biomarkers and long-term cancer related fatigue in breast cancer survivors.,"Breast cancer, Cancer, Cancer related fatigue, Cytokines, Fatigue, Immune system, Inflammation, Lifestyle, Quality of life","Breast (Edinburgh, Scotland)","BACKGROUND: Low-grade inflammation has been associated with cancer related fatigue (CRF). However, most studies focused on CRF during or shortly after treatment. Longitudinal studies are rare with inconsistent results. We assessed the association of inflammatory biomarkers with total CRF and all subdomains (physical, cognitive, affective) in long-term breast cancer survivors. METHOD: Patients recruited between 2002 and 2005 provided information on CRF at first follow-up (FU1) (N = 1292) and second follow-up (FU2) (N = 1205), after a median of 6.2 years and 11.7 years, respectively. Associations of 11 inflammatory biomarkers with CRF at FU1 and at FU2 were assessed using linear regression models. Logistic regression models were used to compare patients fatigued at both time-points and those never fatigued (N = 932). RESULTS: C-reactive protein (CRP) was significantly associated with total CRF at FU1 (beta = 1.47, 95%CI = 0.62-2.31, p = 0.0007), at FU2 (beta = 1.98, 95 %CI = 0.96-2.99, p = 0.0001) and with persistent CRF (OR = 1.29, 95%CI = 1.13-1.47, p < 0.0001). IL-6 levels were associated with total CRF at FU1 (beta = 1.01, 95%CI = 0.43-1.59, p = 0.0006), but not with CRF at FU2 or persistent CRF. No association remained significant after adjustment for relevant covariates. DISCUSSION: CRP and Il-6 were associated with risk of CRF in long-term breast cancer survivors, but were not independent of other known risk factors, suggesting that currently studied inflammatory markers are not suitable to identify patients at risk of long-term CRF."
33667993,"['S2213-2317(21)00058-6 [pii]', '10.1016/j.redox.2021.101910 [doi]']",The lncRNA Malat1 regulates microvascular function after myocardial infarction in mice via miR-26b-5p/Mfn1 axis-mediated mitochondrial dynamics.,"Cardiac microvascular dysfunction, Malat1, Mfn1, Myocardial infarction, miR-26b-5p",Redox biology,"RATIONALE: Myocardial infarction (MI) is a leading cause of cardiovascular mortality globally. The improvement of microvascular function is critical for cardiac repair after MI. Evidence now points to long non-coding RNAs (lncRNAs) as key regulators of cardiac remodelling processes. The lncRNA Malat1 is involved in the development and progression of multiple cardiac diseases. Studies have shown that Malat1 is closely related to the regulation of endothelial cell regeneration. However, the potential molecular mechanisms of Malat1 in repairing cardiac microvascular dysfunction after MI remain unreported. METHODS AND RESULTS: The present study found that Malat1 is upregulated in the border zone of infarction in mouse hearts, as well as in isolated cardiac microvascular endothelial cells (CMECs). Targeted knockdown of Malat1 in endothelial cells exacerbated oxidative stress, attenuated angiogenesis and microvascular perfusion, and as a result decreased cardiac function in MI mice. Further studies showed that silencing Malat1 obviously inhibited CMEC proliferation, migration and tube formation, which was at least in part attributed to disturbed mitochondrial dynamics and activation of the mitochondrial apoptosis pathway. Moreover, bioinformatic analyses, luciferase assays and pull-down assays indicated that Malat1 acted as a competing endogenous RNA (ceRNA) for miR-26b-5p and formed a signalling axis with Mfn1 to regulate mitochondrial dynamics and endothelial functions. Overexpression of Mfn1 markedly reversed the microvascular dysfunction and CMEC injuries that were aggravated by silencing Malat1 via inhibition of excessive mitochondrial fragments and mitochondria-dependent apoptosis. CONCLUSIONS: The present study elucidated the functions and mechanisms of Malat1 in cardiac microcirculation repair after MI. The underlying mechanisms of the effects of Malat1 could be attributed to its blocking effects on miR-26b-5p/Mfn1 pathway-mediated mitochondrial dynamics and apoptosis."
33667907,"['S2210-2612(21)00196-6 [pii]', '10.1016/j.ijscr.2021.105696 [doi]']",Inflammatory Breast Cancer in Men: A rare clinical case report and a literature review.,"Case report on male inflammatory breast cancer, Delays in diagnosis for male breast cancer, Inflammatory breast cancer in men, Male breast cancer",International journal of surgery case reports,"INTRODUCTION AND IMPORTANCE: The initial misdiagnosis and delayed treatment for inflammatory breast cancer in men is brought about by its rarity and lack of readily available guidelines on pathways. CASE PRESENTATION: A 78-year-old male presented to the breast clinic with an abscess and was later diagnosed with inflammatory breast cancer. He presented with an abscess and was initially treated with antibiotics. Imaging showed a large left breast mass consistent with inflammatory carcinoma with axillary lymph node involvement. Patient was started on Tamoxifen as a bridge for surgery with no response. He eventually had a mastectomy and axillary clearance with the histology confirming the diagnosis and tumour emboli in the lymphatic vessels. Chemotherapy, radiation and dual hormone therapy were included in the adjuvant treatment plan. Two episodes of neutropenic sepsis led to completing only five out of six planned chemotherapy cycles. CLINICAL DISCUSSION: A review of literature and the reported cases was done by the team to contribute to the little information published about the disease and its management. The presented to the breast clinic during the height of the SARS- CoV-2 pandemic. The global impact of SARS-CoV-19 made surgical teams find ways to lessen elective lists to give way for patients affected during the pandemic. CONCLUSION: Very few cases of inflammatory breast cancer have been reported in men. The diagnosis can be missed leading to delay in management. Management can be challenging and complex."
33667890,"['S0959-8049(21)00051-4 [pii]', '10.1016/j.ejca.2021.01.030 [doi]']",Adjuvant chemotherapy for pT1abN0M0 triple-negative breast cancer: a systematic review and meta-analysis of published studies.,?,"European journal of cancer (Oxford, England : 1990)",?
33667790,"['S0753-3322(21)00221-3 [pii]', '10.1016/j.biopha.2021.111436 [doi]']",PD-L1 silencing inhibits triple-negative breast cancer development and upregulates T-cell-induced pro-inflammatory cytokines.,"PD-L1, SiRNA, Silencing, Triple-negative breast cancer",Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,"Triple-negative breast cancer (TNBC) is an invasive tumor with a high incidence of distant metastasis and poor prognosis. In TNBC cells, high PD-L1 expression can induce an immunosuppressive tumor microenvironment, repressing the anti-tumoral immune responses. Although FDA-approved agents targeting the PD-1/PD-L1 axis are potent to eliminate tumoral cells, their immune-related adverse events have become worrisome. As the regulator of gene expression, siRNAs can directly target PD-L1 in breast cancer cells. The gene modification of tumoral PD-L1 can reduce our reliance on the current method of targeting the PD-L1/PD-1 axis. We initiated the study with bioinformatics analysis; the results indicated that TNBC and the MDA-MB-231 cells significantly overexpressed PD-L1 compared to other breast cancer subtypes and cell lines. Our results demonstrated that PD-L1 silencing substantially reduced PD-L1 expression at mRNA and protein levels in MDA-MB-231 cells. Moreover, our results demonstrated that PD-L1 knockdown reduced cancer cell proliferation and induced apoptosis via intrinsic and extrinsic apoptosis pathways. We observed that PD-L1 silencing effectively inhibited the migration of TNBC cells. Further investigation also displayed that silencing of PD-L1 in breast cancer cells induced T-cell cytotoxic function by upregulating the gene expression of pro-inflammatory cytokines, i.e., IL-2, IFN-gamma, and TNF-alpha, and downregulating the gene expression of anti-inflammatory cytokines, i.e., IL-10, and TGF-beta, in a co-culture system."
33667788,"['S0753-3322(21)00232-8 [pii]', '10.1016/j.biopha.2021.111447 [doi]']",The role of H19 lncRNA in conferring chemoresistance in cancer cells.,"Chemoresistance, H19, LncRNA",Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,"H19 is an oncofetal transcript with crucial roles in the development and progression of several neoplastic cells. With anti-apoptotic, pro-proliferative, and pro-migratory functions, H19 affects the carcinogenic process from different functional points. In addition, H19 has central roles in the induction of chemoresistance in breast cancer, lung cancer, glioma, liver cancer, and other types of cancers. Induction of EMT, activation of oncogenic signaling pathways, and changes in the tumor microenvironment are among mechanisms of participation of H19 in chemoresistance. Paclitaxel, doxorubicin, tamoxifen, erlotinib, gefitinib, temozolomide, and methotrexate are among therapeutic agents whose efficacy is influenced by the expression of H19. In the present paper, we discuss the impact of H19 in conferring resistance to chemotherapeutic agents in different cancers."
33667724,"['S1549-9634(21)00016-2 [pii]', '10.1016/j.nano.2021.102373 [doi]']",Blockade of HIF-1alpha and STAT3 by hyaluronate-conjugated TAT-chitosan-SPION nanoparticles loaded with siRNA molecules prevents tumor growth.,"Chitosan, Hyaluronate, Hypoxia inducible factor, Nanoparticle, SPION, STAT3","Nanomedicine : nanotechnology, biology, and medicine","HIF-1alpha and STAT3 are two of the critical factors in the growth, proliferation, and metastasis of cancer cells and play a crucial role in inhibiting anti-cancer immune responses. Therefore, we used superparamagnetic iron oxide (SPION) nanoparticles (NPs) coated with thiolated chitosan (ChT) and trimethyl chitosan (TMC) and functionalized with hyaluronate (H) and TAT peptide for delivery of siRNA molecules against STAT3 and HIF-1alpha to cancer cells both in vivo and in vitro. The results indicated that tumor cell transfection with siRNA-encapsulated NPs robustly inhibited proliferation and migration and induced apoptosis in tumor cells. Furthermore, simultaneous silencing of HIF-1alpha and STAT3 significantly repressed cancer development in two different tumor types (4T1 breast cancer and CT26 colon cancer) which was associated with upregulation of cytotoxic T lymphocytes and IFN-gamma secretion. The findings suggest inhibiting the HIF-1alpha/STAT3 axis by SPION-TMC-ChT-TAT-H NPs as an effective way to treat cancer."
33667689,"['S1043-6618(21)00111-0 [pii]', '10.1016/j.phrs.2021.105527 [doi]']",Oligosaccharides from fucosylated glycosaminoglycan prevent breast cancer metastasis in mice by inhibiting heparanase activity and angiogenesis.,"Angiogenesis, Heparanase, Matastasis, Oligosaccharides",Pharmacological research,"The invasion and metastasis of tumor cells are the hallmarks of malignant diseases and the greatest obstacle to overcome. Heparanase-mediated degradation of heparan sulfate (HS) is the critical process for tumor angiogenesis and metastasis, therefore, heparanase become an attractive target for cancer research. Herein, we reported a native fucosylated glycosaminoglycan (nHG) extracted from sea cucumber Holothuria fuscopunctata and a depolymerized nHG (dHG) and its contained oligosaccharides (hs17, hs14, hs11, hs8 and hs5), acting as heparanase inhibitors. nHG and its derivatives have the ability to bind with heparanase directly, leading to significant inhibition of heparanase activity. Moreover, their apparent binding affinity to heparanase was comparable to their inhibitory effect, which was elevated along with the increase of chain length, similar to the effect of heparins. In addition, oligosaccharides inhibited the migration and invasion of 4T1 mammary carcinoma cells and human umbilical vein endothelial cells (HUVECs) and also suppressed tube formation in Matrigel matrix and angiogenesis in the chick chorioallantoic membrane (CAM) assay. In the metastatic mouse model, oligosaccharides exhibited practical antimetastatic effects on 4T1 mammary carcinoma cells. According to the reported anticoagulant activity and the low bleeding tendency of dHG and its oligosaccharides, the use of the oligosaccharides may lead to better effects on tumor patients with thrombosis tendency."
33667669,"['S0923-7534(21)00156-3 [pii]', '10.1016/j.annonc.2021.02.016 [doi]']",IgE blockade with omalizumab reduces pruritus related to immune checkpoint inhibitors and anti-HER2 therapies.,"IgE, bullous pemphigoid, cutaneous adverse event, eczema, pruritus, urticaria",Annals of oncology : official journal of the European Society for Medical Oncology,"BACKGROUND: Immunoglobulin E (IgE) blockade with omalizumab has demonstrated clinical benefit in pruritus-associated dermatoses (e.g., atopic dermatitis, bullous pemphigoid, urticaria). In oncology, pruritus-associated cutaneous adverse events (paCAEs) are frequent with immune checkpoint inhibitors (CPIs) and targeted anti-human epidermal growth factor receptor 2 (HER2) therapies. Thus, we sought to evaluate the efficacy and safety of IgE blockade with omalizumab in cancer patients with refractory paCAEs related to CPIs and anti-HER2 agents. PATIENTS AND METHODS: Patients included in this multicenter retrospective analysis received monthly subcutaneous injections of omalizumab for CPI or anti-HER2 therapy-related grade 2/3 pruritus that was refractory to topical corticosteroids plus at least one additional systemic intervention. To assess clinical response to omalizumab, we used the Common Terminology Criteria for Adverse Events version 5.0. The primary endpoint was defined as reduction in the severity of paCAEs to grade 1/0. RESULTS: A total of 34 patients (50% female, 68 years median age) received omalizumab for cancer therapy-related paCAEs (71% CPIs; 29% anti-HER2). All had solid tumors (29% breast, 29% genitourinary, 15% lung, 26% other), and most (18, 64%) presented with an urticarial phenotype. Twenty-eight of 34 (82%) patients responded to omalizumab. The proportion of patients receiving oral corticosteroids as supportive treatment for management of paCAEs decreased with IgE blockade, from 50% to 9% (p < 0.001). Ten of 32 (31%) patients had interruption of oncologic therapy due to skin toxicity; four of six (67%) were successfully rechallenged following omalizumab. There were no reports of anaphylaxis or hypersensitivity reactions related to omalizumab. CONCLUSIONS: IgE blockade with omalizumab demonstrated clinical efficacy and was well tolerated in cancer patients with pruritus related to CPIs and anti-HER2 therapies."
